"","job_title","company_name","job_location","job_description"
"722","Data Scientist","Ascensia Diabetes Care","Valhalla, NY 10595","Ascensia Diabetes Care is a global specialist diabetes care company, dedicated to helping people living with diabetes. Our mission is to empower people living with diabetes through innovative solutions that simplify and improve their lives. We use our innovation and specialist expertise in diabetes to develop high quality solutions and tools that make a positive, daily difference for people with diabetes.
POSITION PURPOSE: The ideal candidate will be intricately involved in running analytical experiments in a methodical manner and will regularly evaluate alternate models via theoretical approaches. Responsibilities include analyses of various data streams, utilization of large data sets to determine unique insights to further business needs. This includes finding innovative ways to combine fields of data that don’t naturally mesh together as well as exploratory data analysis in order to navigate a dataset and come out with conclusions based on certain assumptions. Creation of meaningful data visualizations that communicates findings and relate them back to how your insights create business impact.
Work autonomously and be comfortable building projects from start to finish. Position participates in projects and makes proposals for new and innovative projects within the R&D environment. Uses expertise gained through a wide exposure of previous assignments and by focusing on areas for planning, scheduling, organizing, performance management, financial management and administrative skills.
MAJOR TASKS AND RESPONSIBILITIES OF POSITION:Research and develop statistical learning models for data analysisAnalyze business needs and produce results that meet strategic objectivesOptimize information architecture to promote usability, while accommodating technical needs/constraints.Understands and ensures strict compliance to applicable processes; collaborates to ensure cross-functional process requirements e.g., regulatory are met.Collaborate with product management and engineering departments to understand company needs and devise possible solutionsPossess ability to present, interpret, and recommend to senior management the results of work including the development including the development of new concepts, major advances in technology, new major applications, and progress on all product programs.Keep up-to-date with latest technology trends.Implement new statistical or other mathematical methodologies as needed for specific models or analysis.
QUALIFICATIONS:Experience in a fast-paced software development environment, and an ability to execute against aggressive timelinesProven ability to influence cross-functional teams without formal authorityHighly creative and inquisitive; able to multitask effectivelyDeep knowledge of statistical tests, distributions, maximum likelihood estimatorsSound experience with Python and/or RExperience with statistical programming languages and a database querying language like SQL.Experience with machine learning methods like k-nearest neighbors, random forests, ensemble methods and more.Data-driven problem-solverDegree in Computer Science, Engineering, Statistics, Technical Science or 4+ years of IT/Programming experienceExperience in and understanding of data and information management, especially in Big Data trendsHealth care industry experience is a plusExperience with development in regulated environment is a plusExperience with medical devices or software is a plusMS: 4 years of experienceBS: 6 years of experience
IND123
YOUR APPLICATION:
Ascensia offers a wide variety of competitive compensation and benefits programs. If you meet the requirements of this unique opportunity, and are driven by innovation and the desire to improve the lives of our patients, we encourage you to apply now. Job postings will remain open for a minimum of five business days and are subject to immediate closure thereafter without additional notice.
TO ALL RECRUITMENT AGENCIES:
Ascensia does not accept unsolicited third party resumes.
Ascensia is an Equal Opportunity Employer."
"723","Data Scientist","Pointman","Buffalo, NY 14203","$65,000 - $75,000 a yearPointman provides business solutions for frictionless operations management and growth for residential HVAC, plumbing and electrical contractors. We provide this service through a system we call PACT. Pointman PACT members receive dedicated support for managing their business by providing four elements of support: Process, Analytics, Community, and Technology.We're looking for a Data Scientist with a passion for conducting the statistical analyses necessary to diagnose and direct the business activities of Pointman PACT members.As a Data Scientist, you'll be working closely with our Success Coaches, marketing and sales teams, and PACT members to ensure that we deliver the highest quality directives based on our member's business data. This role is vital to the success of every PACT member we provide services and support to. The Data Scientist will establish our Analytics team and launch our effort to build a data-centric culture.Pointman wants to create an in-house analytics team that leverages industry and member-driven data to empower business decisions and deliver critical insights, metrics, and tools that continually improve upon our ability to provide actionable guidance to our members. We want to answer questions like:What business decisions drive the best outcomes?Why do users conduct activities in a particular sequence and does it matter?What underlying trends exist that will impact the industry in the next 12-36 months?Is there a clear set of behaviors that make a company great?What drives member engagement?and of course...What's next?We're on a mission to build a world where people love their contractors! If you have the skills and passion for providing data analysis to drive that mission, then we want you to be our next Data Scientist!Data Scientist ResponsibilitiesDevelop a comprehensive understanding of Pointman data structures and metricsResearch and develop analysis, forecasting, and optimization methods to improve the quality of Pointman productWork with large and complex data sets to solve difficult, non-routine analysis problems, applying advanced analytical methods as needed.Conduct end-to-end analysis that includes data gathering and requirements specification, processing, analysis, producing and presenting ongoing deliverables.Build and prototype analysis pipelines to provide statistical insights at scaleDevelop compelling visual displays of quantitative analytics for client facing presentationMake business recommendations (e.g. cost-benefit, forecasting, experiment analysis, etc) through effective presentations of findings to multiple levels of stakeholdersWork closely with our engineers to design, assess, and identify opportunities for improvements to Pointman productsAdvocate for changes as needed for both product development and sales activityThese are the requirements our Data Scientist must have: A Bachelor's degree in statistics, data management, quantitative analysis, or related field; Advanced degree strongly preferred5+ years of experience with database management, operations, and statistical analysisDemonstrated proficiency in one or more statistical analysis tools such as Tableau, MATLAB, Stata, Alteryx, or similarDedication to ethical reporting of business and financial dataProven ability to work independently and manage multiple tasks efficiently and effectivelyAn interest in working as a member of a dynamic team of engineers, analysts, and advisorsGenuine care and concern for the welfare of our members and their customersWhy Pointman?Nothing feels better than knowing you’ve been a part of something meaningful for our members, for their families, and for their clients. When we’re at our best, we help change the lives and livelihood for some of the hardest working people in the country.Pointman believes that Main Street business and entrepreneurs are the heartbeatof our economy. Having started and run several service businesses ourselves, understanding the risks and rewards of succeeding in small business is part of our DNA here at Pointman. Working here is about helping others “make it.” It’s not just about building apps and going paperless; it’s about being part of a movement to help Main Street succeed again. It’s about standing up for the underdog. It’s about having the courage to put yourself out there to say, “I’m here to help” and then delivering on that promise.As we grow our team, it’s essential that our why resonates with you. At times, we’ll ask a lot of you, and it’s important to know why we do what we do. We also believe firmly in taking good care of our people. We believe in healthy work-life balance and in creating an environment that allows everyone to achieve autonomy, mastery, and purpose in their roles here at Pointman.Our offices are in the Brisbane Building in the heart of downtown Buffalo, and we offer some of the best perks in town, including:near unlimited snacks and drinks in our huge kitchena small office gym (w/ showers and lockers)lots of unique working, relaxing, eating, and creative spaceslots of amazingly cool and hardworking peopleteam outings, happy hours, and moreIn addition to competitive salary, Pointman offers paid vacation and personal time, generous parental leave policy, access to healthcare, dental, and visioncoverage for employees and their families, retirement account (401K) with employer matching, and MORE.If you're interested in becoming a member of the Pointman team and think you'd be a good fit for the Data Scientist position, we look forward to reviewing your application!Job Type: Full-timeSalary: $65,000.00 to $75,000.00 /yearExperience:database management, operations, and statistical analysis: 5 years (Preferred)Education:Bachelor's (Required)Location:Buffalo, NY 14203 (Required)"
"724","Data Scientist/Data Science Instructor","NYC Data Science Academy","Manhattan, NY 10018 (Clinton area)","Part-time, Temporary, ContractAbout UsJust as the field of Data Science is growing and ever-changing, so too is our team: we’re on the hunt for instructors who are passionate about what they do and want to make a difference in the education of the world’s up-and-coming data scientists — our students.The NYC Data Science Academy prides itself on housing the most comprehensive 12-week intensive bootcamp in data science methodologies, providing theoretical, practical, and hands-on knowledge to our scholars. We adapt faster than the quickest machine learning algorithms out there — with content that reflects research and application in the growing market and teaching expertise that is beyond ordinary.That’s where you come in.From our part-time weekend/evening classes, to our full-time boot camp, our courses are both designed in-house and taught by our robust team of data scientists and engineers. Instructors have the opportunity of taking part in corporate training and consulting projects, building both data science and big data solutions. We encourage collaboration and positive change in not only our students and clients but also in our team. Nerding out is also highly encouraged.ResponsibilitiesDevelop, evaluate, deliver, and maintain superb content on the cutting-edge of technology for training experiences relevant to audiences with a diverse set of backgrounds.Participate in planned tailoring of teaching content for both corporate and client audiences.Provide feedback to product and content development teams.Stand as an instructional mentor for students of all levels.About YouMinimum of a Master’s Degree in a Science, Technology, Engineering, or Mathematics-related field; Computer Science and Statistics preferred.Proficiency in statistical computing and/or programming in R and/or Python.Taught undergraduate or graduate level coursework in STEM, required.Demonstrated knowledge of Statistics and Machine Learning from both a theoretical and applied perspective.Experience in developing a curriculum or providing training in a client-facing endeavor.PerksCompetitive salary, adjustable hours, and flexible vacation policy.Opportunity to train, research, and learn in the field of data science on-the-job; chance to interact with active data science communities through conferences, Meetup events, etc.Completely stocked snack pantry.High-quality computational equipment.Job Types: Full-time, Part-time, Temporary, ContractExperience:Machine Learning: 1 year (Preferred)Python: 1 year (Preferred)R: 1 year (Preferred)Education:Master's (Preferred)Working days:MondayTuesdayWednesdayThursdayFridaySaturdaySundayBenefits offered:Paid time offParental leaveHealth insuranceDental insuranceHealthcare spending or reimbursement accounts such as HSAs or FSAsOther types of insuranceRetirement benefits or accountsEducation assistance or tuition reimbursementChild Care benefitsEmployee discountsFlexible schedulesWorkplace perks such as food/coffee and flexible work schedulesContract Length:VariesMore than 1 year5 - 6 monthsEmployment Length:Varies4 - 6 months"
"725","Staff Data Scientist - Technology - New York, NY","Finra","New York, NY 10005 (Financial District area)","We Work to Protect Investors. Join our Team.

The Financial Industry Regulatory Authority (FINRA) is seeking a well-qualified individual for our Staff Data Scientist opening in New York, NY. To be considered for this position, please submit your resume through our career site at www.finra.org/careers – no phone calls, please.

Job Summary:

A Staff Data Scientist for Market Regulation Technology will support the establishment of data science and machine learning best practices as FINRA moves to machine learning (ML)-based pattern development. . Build tools based on needs identified during research phase and interaction with FINRA clients.
Essential Job Functions:
Participate in the development of the ML Framework within the Dynamic Surveillance Platform
Serve as a quantitative research analyst working with multiple FINRA businesses to build the ML Framework
Collaborate with Data Engineers to specify Data Framework features
Analyze experimental data with statistical rigor. Ensure accurate interpretation by combining business acumen with detailed data knowledge and statistical expertise
Build machine learning based surveillance models to monitor markets and protect investors
Clearly communicate analytic insights as concrete, actionable recommendations for new models
Enable independent interpretation of results through education, improved tools, and data visualization
Qualifications

Education/Experience Requirements:
Bachelor’s or Master’s degree in Engineering, Statistics, Mathematics, Sociology, Econometrics, or related field.
1-3 years’ relevant experience applying analytics to drive business impact.
Strong coding skills in Scala, R or Python.
Strong background in machine learning and knowledge of advanced statistical methods and predictive modeling.
Solid statistical knowledge and intuition, ideally utilized in experimentation and modeling.
Strong algorithmic thinking and independent research ability.
Exceptional interpersonal and communication skills.
Must be able to translate business objectives into actionable analyses, and analytic results into actionable business and product recommendations.
Impactful presentation skills, including the use of meaningful charts, graphs, or other data visualizations to convey information and results clearly and concisely.Working Conditions:
Work is normally performed in an office environment.
Occasional travel and extended hours may be required.
The information provided above has been designed to indicate the general nature and level of work of the position. It is not a comprehensive inventory of all duties, responsibilities and qualifications required.

Please note: If the “Apply Now” button on a job board posting does not take you directly to the FINRA Careers site, enter www.finra.org/careers into your browser to reach our site directly.

FINRA strives to make our career site accessible to all users. If you need a disability-related accommodation for completing the application process, please contact FINRA’s accommodation help line at 240.386.4865. Please note that this number is exclusively for inquiries regarding application accommodations.

In addition to a competitive salary, comprehensive health and welfare benefits, and incentive compensation, FINRA offers immediate participation and vesting in a 401(k) plan with company match. You will also be eligible for participation in an additional FINRA-funded retirement contribution, our tuition reimbursement program and many other benefits. If you would like to contribute to our important mission and work collegially in a professional organization that values intelligence, integrity and initiative, consider a career with FINRA.

Important Information

FINRA’s Code of Conduct imposes restrictions on employees’ investments and requires financial disclosures that are uniquely related to our role as a securities regulator. FINRA employees are required to disclose to FINRA all brokerage accounts that they maintain, and those in which they control trading or have a financial interest (including any trust account of which they are a trustee or beneficiary and all accounts of a spouse, domestic partner or minor child who lives with the employee) and to authorize their broker-dealers to provide FINRA with duplicate statements for all of those accounts. All of those accounts are subject to the Code’s investment and securities account restrictions, and new employees must comply with those investment restrictions—including disposing of any security issued by a company on FINRA’s Prohibited Company List or obtaining a written waiver from their Executive Vice President—by the date they begin employment with FINRA. Employees may only maintain securities accounts that must be disclosed to FINRA at one or more securities firms that provide an electronic feed (e-feed) of data to FINRA, and must move securities accounts from other securities firms to a firm that provides an e-feed within three months of beginning employment.

As standard practice, employees must also execute FINRA’s Employee Confidentiality and Invention Assignment Agreement without qualification or modification and comply with the company’s policy on nepotism.

About FINRA

FINRA is an independent, non-governmental regulator for all securities firms doing business with the public in the United States. FINRA works to protect investors and maintain market integrity in a public-private partnership with the Securities and Exchange Commission (SEC), while also benefiting from the SEC’s oversight. In its role as investor guardian, FINRA is informed, but not influenced, by the industry that it regulates. FINRA’s independent regulation plays a critical role in America’s financial system–all at no cost to taxpayers.

FINRA touches virtually every aspect of the securities business—from registering and educating industry participants to examining securities firms; writing rules; enforcing those rules and the federal securities laws; informing and educating the investing public; providing trade reporting and other industry utilities; and administering the largest dispute resolution forum for investors and registered firms. FINRA uses technology powerful enough to look across markets and detect potential abuses. Using a variety of data gathering techniques, we work to detect insider trading and any strategies firms or individuals use to gain an unfair advantage.
In today's fast-paced and complex global economy, FINRA is a trusted advocate for investors, dedicated to keeping the markets fair and proactively addressing emerging regulatory issues before they harm investors or the markets. FINRA operates from Washington, DC, and New York, NY, with other offices around the country.

Find out more about us and how we work—and view our current openings—at www.finra.org/careers.

Search Firm Representatives

Please be advised that FINRA is not seeking assistance or accepting unsolicited resumes from search firms for this employment opportunity. Regardless of past practice, a valid written agreement and task order must be in place before any resumes are submitted to FINRA. All resumes submitted by search firms to any employee at FINRA without a valid written agreement and task order in place will be deemed the sole property of FINRA and no fee will be paid in the event that person is hired by FINRA.

FINRA is an Equal Opportunity and Affirmative Action Employer

All qualified applicants will receive consideration for employment without regard to age, citizenship status, color, disability, marital status, national origin, race, religion, sex, sexual orientation, gender identity, veteran status or any other classification protected by federal state or local laws as appropriate, or upon the protected status of the person’s relatives, friends or associates.

FINRA abides by the requirements of 41 CFR 60-741.5(a). This regulation prohibits discrimination against qualified individuals on the basis of disability, and requires affirmative action by covered prime contractors and subcontractors to employ and advance in employment qualified individuals with disabilities.

FINRA abides by the requirements of 41 CFR 60-300.5(a). This regulation prohibits discrimination against qualified protected veterans, and requires affirmative action by covered prime contractors and subcontractors to employ and advance in employment qualified protected veterans.

©2018 FINRA. All rights reserved. FINRA is a registered trademark of the Financial Industry Regulatory Authority, Inc."
"726","Data Scientist","Vermont Mutual Insurance","Montpelier, VT","Not just another job, but an opportunity to work for one of the best insurance companies in the country and reap the rewards that go along with that level of success. We’re a 190 year old company that works hard not to act our age; as a result, we have been recognized as one of the “Best Places to Work in Vermont”. An open and collaborative environment, coupled with exceptional compensation and benefits help to make us one of the most attractive employment opportunities in the country.

We are looking for an experienced professional in mathematics, computer science, statistics, or other related field to research and shape technology and data driven innovation across our company. The ideal Data Scientist has hands-on experience developing data science solutions, ability to communicate effectively with non-technical stakeholders, has experience with coding languages, and understanding of advanced statistical models, predictive analysis, and machine learning techniques.

If you have qualifications that you feel would allow you to contribute to the continued success of Vermont Mutual, we’d love to hear from you."
"727","Data Scientist","data245","Bannockburn, IL","$75,000 - $125,000 a yearPart-time, Contract, InternshipSr. Machine Learning/Data Scientistdata245, Bannockburn, IL seeks data scientists.We are open to all levels of experience (down to an intern) as we are building a team around new initiatives.You will be developing state of the art algorithms to power various aspects of highly complex business modelsYou can articulate and understand a business problem, identify challenges, formulate the machine learning problem or NLP problems and provide/prototype solutionsYou will provide technical leadership, identify and understand key business challenges and opportunities, and develop end-to-end software solutions using machine learning/NLP and optimization methods.You will collaborate extensively with internal and external partners, program management, and, at a senior level, the engineering team to ensure that solution meet business needs, permit valid inferences and have functional feasibilityYou will collect and manipulate large volumes of data; build new and improved techniques and/or solutions for data collection, management, and usageYou will communicate results in a comprehensible manner to all levels of the company (field teams up to Snr. Management) - this will require client facing in the future - but not initiallyYou will brainstorm with other team members and leadership - who has 30 plus years experience in the industry that requires the solution.Requirements:PHD or MS in Statistics, Machine Learning, or Computer Science (or technical degree with commensurate industry experience)Ideally the Senior position will possess at least 3 years of relevant work - or academic academic experience, as a Data Scientist / Machine Learning professional.Expertise in NLP a bonusStrong algorithmic design skillsOther positions require less tenure, but the same relevant ML understanding.Previous hands on experience, or thesis dedicated to the sameDeep understanding of classic machine learning and deep learning theory, and extensive hands-on experience putting it into practiceExcellent understanding of machine learning algorithms, processes, tools and platforms including CNN, RNN, NLP, tensorflow, keras, etc.Python proficiency is mustApplied experience with machine learning on large datasets\sparse data with structured and unstructured data.Experience with deep learning, and their optimizations for efficient implementation.Great communication skills, ability to explain predictive analytics to non-technical audience (not client facing yet, and no sales)Experienced in predictive modelling.Execute analytical experiments methodically while outputting reproducible research.Excited to change an industry struggling to control costs.Good to have – Familiar with one or more programming languages e.g. C++ / Java / Android / iOS"".Job Types: Full-time, Part-time, Internship, ContractSalary: $75,000.00 to $125,000.00 /yearEducation:Master's (Preferred)Work authorization:United States (Preferred)Hours per week:30-39Overtime often available:NoContract Length:More than 1 yearTypical end time:5PM"
"728","Junior Data Scientist","1-800-Flowers.com","New York, NY","Description As part of the NYC Innovation Team located in vibrant startup community Galvanize located in West Soho in Manhattan, this Junior Data Scientist will be joining a multi-versed team that demonstrates code proficiency and product ownership.
The NYC Innovation Team consists of react developers, mobile and UX developers, and cloud engineers. The team spans multiple brands as part of 1-800-Flowers and aims to provide value and innovation to new and ongoing projects alike.
As Junior Data Scientist, you will be responsible for collecting, cleaning, and extracting data from a variety of systems at 1-800-flowers with intention to run analysis on in order to provide insights to various business groups. Developing scripts and tools to provide artificial intelligence to data of different types will be asked of. You will also assist in creating best practices for the next stage of artificial intelligence in ecommerce from a data science point of view. Working across functional teams and providing insights into how to better market, sell, and retain customers will be a constant goal for this role.

Requirements .
About Us 1-800-FLOWERS.COM, Inc. is a leading provider of gifts for all celebratory occasions. For the past 40 years, 1-800-Flowers.com® has been helping deliver smiles to customers with a 100% Smile Guarantee® backing every gift. The 1-800-FLOWERS.COM, Inc. family of brands also includes everyday gifting and entertaining products from Harry & David®, The Popcorn Factory®, Cheryl's Cookies®, 1-800-Baskets.com®, Wolferman's®, Moose Munch® premium popcorn, Personalization Universe®, Simply ChocolateSM, and FruitBouquets.com SM. The Company also offers top-quality steaks and chops from Stock Yards® and gift baskets and towers from its DesignPac Gifts, LLC division. Loyalty programs, such as Celebrations Passport®, Celebrations Rewards® and Celebrations Reminders® are designed to deepen relationships with customers across all brands. The Company's BloomNet® international floral wire service and Napco SM floral gifts and seasonal décor division provide a broad-range of products and services designed to help professional florists grow their businesses profitably. 1-800-FLOWERS.COM, Inc. was named to the Stores® 2017 Hot 100 Retailers List by the National Retail Federation and also received the Gold award in the ""Best Artificial Intelligence"" category at the Data & Marketing Association's 2017 International ECHO Awards. Shares in 1-800-FLOWERS.COM, Inc. are traded on the NASDAQ Global Select Market, ticker symbol: FLWS."
"729","Data Scientist I","Grubhub","New York, NY","Part-timeAbout The Opportunity
Here at Grubhub we’ve been dedicated to giving diners the most convenient way to order food from their favorite restaurants (whether that’s a late night Chalupa from Taco Bell or a salad for lunch from a local restaurant the day after they enjoyed said late night Chalupa).While we are food-obsessed, we are also customer-obsessed. We look to constantly innovate our technology so our diners’ food experience is memorable, restaurant owners get more business and individuals across the country looking for part-time work can deliver the food from the restaurant to the diner flawlessly. We take great pride in knowing that we are a part of 17+ million diners food ordering experience and we are partnered with 105,000 restaurants in 2,000 US cities across our suite of apps (Grubhub, LevelUp, Seamless, Tapingo, Eat24).
Want to be a part of the biggest movement in the US that is moving eating forward? If so, we want to talk to you - and hear what’s your favorite restaurant for food delivery!
Some Challenges You’ll Tackle
Understand the business! Work directly with stakeholders to address their needs.
Build models, from selecting features to optimizing.
Be a stakeholder for our models! Help guide and prioritize development of predictive models to enhance our capabilities.
Question our assumptions! Find new and better ways to do what we’re doing.
Produce novel analysis giving insights into the business
Relentlessly analyze and improve the performance of our business.You Should Have
1 - 3 years of experience applying descriptive statistics, machine learning, building predictive models and visualization to solve real-world problems
MSc or PhD in in statistics, mathematics, computer science or another quantitative field
Comfort communicating analytical findings to people of diverse backgrounds using statistical libraries and visualization tools in Python
Excellent programming skills in Python
Data querying capabilities using SQL
Ability to explain technical concepts in simple terms to business stakeholders
Got These? Even Better
Experience deploying regression, GLM, tree-based and Bayesian models with Python in a production environment
Experience with distributed data and computing tools like Spark, Hive and Presto
Experience using cloud infrastructure like AWS
A knack for analyzing and improving processes using dataAnd Of Course, Perks!
Flexible PTO. It’s true, no strings attached and all the time you need to recharge.
PTO. It’s true, we provide you a generous amount of time to recharge.
Better Benefits. Get quality insurance, flex-spending accounts, retirement options and commuter perks.
Free Food. Kitchens are stocked and free Grubhub each week.
Stock Up. All of our employees are owners, in fact, they’re granted Restricted Stock Units, which means we’re all in it to win it.
Casual Culture. Catch rays on the rooftop or get comfy on a couch and get to know your coworkers — because work, should be a place you want to be.
Grubhub is an equal opportunity employer. We evaluate qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, and other legally protected characteristics. The EEO is the Law poster is available here: DOL Poster. If you are applying for a job in the U.S. and need a reasonable accommodation for any part of the employment process, please send an e-mail to talentacquisition@grubhub.com and let us know the nature of your request and contact information. Please note that only those inquiries concerning a request for reasonable accommodation will be responded to from this e-mail address."
"730","Data Analyst - User Research","IBM","New York, NY 10002 (Lower East Side area)","Job DescriptionWe are looking for a Data Analyst to join the User Research and Analytics team in the IBM CIO organization. As a Data Analyst you will be responsible for instrumenting data collection and analysis methodologies to track the adoption and usage of IBM’s suite of internal applications used by IBM employees world-wide. In addition to analyzing behavioral and attitudinal user experience metrics, you will extract actionable insights that will be used to discover opportunities to improve the quality of the user experience and increase employee adoption and engagement.
You will be experienced in applying statistical methods such as Cluster Analysis and Classification, Regression Models) to infer and predict user intent from measurable behavior.Key Responsibilities:
You will analyze large data sets of quantitative and qualitative data to extract actionable insights and create predictive models
Extract, compile, and validate data, conducting analysis using standard analytic and/or data science tools and techniques
Work with stakeholders including the Executive, Project, and Design teams to assist with data-related technical issues and support their data needs.
Maintain automated reports and dashboards
You will create innovative, long-term automated solutions
Communicate findings in a clear, concise, and visual (as appropriate) manner to our key stakeholder project teams, and drive meaningful action based on those findings
You will work cross-functionally with Design Researchers, Visual / Interaction / Content Designers, Program Managers and Software Engineers
IBM will not be providing visa sponsorship for these positions now or in the future. Therefore, in order to be considered for this position, you must have the ability to work without a need for current or future visa sponsorship.
The Office of the Chief Information Officer (CIO) owns IBM’s IT strategy and provides the tools, workstations, devices, and infrastructure that IBMers use to do their jobs every day. Put simply, our mission is to create a productive environment for IBM's 365,000 worldwide employees. Join us as we lead with design to drive simplicity and ease of use, engineering the systems that run the business, and innovating to transform the business.
CIODEM19
Required Technical and Professional Expertise3+ years experience with performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement
Strong analytic skills related to working with unstructured datasets
Experience supporting and working with cross-functional teams
Strong analytical abilities and problem-solving skills and an informed, evidence-based approach
Experience with statistical analysis software and tools: such as SPSS, SAS
Bachelor Degree in Statistics, Psychology, Operations Research/Mathematical Optimization, Mathematics, Physics or another quantitative field.
Preferred Tech and Prof Experience5+ years manipulating, processing and extracting value from large disconnected datasets
Experience in an Agile environment
Experience with relational SQL and NoSQL databases
Expert in SPSS Statistics and SPSS Modeler
Experience using data presentation software/tools: Tableau, Excel Database administration, management
Data modeling skills
Master's or Ph.D. degree in Statistics, Psychology, Operations Research/Mathematical Optimization, Mathematics, Physics or another quantitative field.
EO Statement
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
"731","Research Analyst, People Analytics","Google","New York, NY 10011 (Chelsea area)","Note: By applying to this position your application is automatically submitted to the following locations: Mountain View, CA, USA; San Francisco, CA, USA; Boulder, CO, USA; New York, NY, USA; Chicago, IL, USA
Minimum qualifications:
Bachelor's degree in Statistics, Economics, Psychology, Sociology, a related quantitative field or equivalent practical experience.

Experience working with and manipulating data from businesses (e.g., checking for data issues, cleaning, merging).

Experience using business data to conduct statistical analyses and test hypothesis (e.g., correlation, regression, factor analysis, t-test, ANOVA, HLM, etc.).
Preferred qualifications:
Experience using R, SPSS, STATA, and/or other languages to conduct statistical analyses.
Experience using SQL to clean data.
Experience managing complex projects with multiple stakeholders.
Experience working with diversity-related data.
Ability to creatively solve problems in a fast-paced, changing environment.
Demonstrated internal consulting, client management, and project management skills. About the job
At Google, data drives all of our decision-making, and our HR organization is no exception. The People Analytics team acts as an internal innovation lab, using analytical approaches to make sure Google continues to be a great place to work. The team provides critical support to the business around issues of organizational health and is responsible for not just taking the pulse of our Googlers, but harnessing Googler feedback to drive change for the better. As an analyst you'll be detail-oriented and conscientious, analytical and curious. You're a strong problem-solver, who uses both quantitative and qualitative methods to get things done. And on top of it all, you're someone who wonders ""What if?"" and then seeks out the solution.

We are a group of social scientists, with research backgrounds, who conduct experimental, survey, and archival research to inform people-related business decisions.

In this role, you'll work as a quantitative analyst to help contribute to Google-wide research and analysis efforts supporting people processes.
Great just isn't good enough for our People Operations team (you probably know us better as ""Human Resources""). Made up of equal parts HR professionals, former consultants and analysts, we're the advocates of Google's colorful culture. In People Ops, we ""find them, grow them, and keep them""- we bring the world's most innovative people to Google and provide the programs that help them thrive. Whether recruiting the next great Googler, refining our core programs, developing talent or simply looking for ways to inject some more fun into the lives of our Googlers, we bring a data-driven approach that is reinventing the human resources field. Responsibilities
Manipulate datasets and conduct statistical analysis (e.g., correlation, regression, factor analysis, t-test, ANOVA, HLM, etc.) using survey and archival data, with analyses conducted in R.
Communicate findings and recommendations to influence leaders to take action on the results.
Build relationships and collaborate with teammates, business leaders, and HR clients to solve organizational problems.
Be productive in an ambiguous, changing work environment (e.g., create structure, apply project management skills, develop and stick to deadlines). At Google, we don’t just accept difference—we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products and our community. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form ."
